City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1656260'],['160270211001'],[6.5],[286.6077751253258],[127.03775548698316],[97.5967924540786],[94.91030457732606],[0.6629420255008256],[0.5815399329864379],[8.439452530302804],[-99999.0],[13.0],[14.0],[5.0],[1.0]
['1612250'],['160270211001'],[6.5],[1368.491514350522],[606.5784164789422],[466.00404417791276],[453.1766327054438],[0.6629420255008256],[0.5815399329864379],[8.439452530302804],[-99999.0],[13.0],[14.0],[5.0],[1.0]
['1660940'],['160270221004'],[6.5],[37.14968976953069],[13.496224153432221],[14.927216735189068],[14.927216735189068],[0.5988028730722255],[0.734941838472372],[5.3858944185949],[-99999.0],[17.0],[12.0],[4.0],[1.0]
['1656260'],['160270203003'],[16.5],[687.0],[324.0],[244.0],[238.0],[0.6445628661655728],[0.6325128175838736],[283.355505084874],[480.12],[14.0],[13.0],[20.0],[16.0]
['1660940'],['160270221001'],[5.0],[10.569866083092009],[3.616804965304798],[3.4424097573341266],[3.4424097573341266],[0.3961827470952442],[0.7394598472338433],[2.973141463352598],[-99999.0],[17.0],[5.0],[3.0],[1.0]
['1656260'],['160270202003'],[17.5],[1518.0],[457.0],[547.0],[527.0],[0.8894662128152334],[0.7254618706626882],[175.82383491108567],[579.36],[17.0],[20.0],[19.0],[15.0]
['1627460'],['160499400005'],[3.0],[1.0624857210119032],[0.2640644464883042],[0.42723634502588836],[0.41228930088504095],[0.40787715836682614],[0.4248968130065253],[0.7564822432156588],[-99999.0],[8.0],[6.0],[1.0],[1.0]
['1656260'],['160270203001'],[13.333333333333332],[854.0000000000006],[509.00000000000034],[417.0000000000003],[370.0000000000002],[0.24030955682237823],[0.5294637910073295],[187.92775100967384],[641.06],[11.0],[3.0],[19.0],[14.0]
['1656260'],['160270207001'],[5.166666666666666],[9.116877879237714],[4.051098036715671],[2.807540635614627],[2.807540635614627],[0.5725867507137777],[0.4345502684685606],[7.365382199268393],[-99999.0],[8.0],[11.0],[5.0],[1.0]
['1656260'],['160270204024'],[17.333333333333336],[703.0000000000005],[566.0000000000003],[410.0000000000003],[333.0000000000002],[0.6727417198063085],[0.7112448673667888],[287.7796794323145],[395.63],[16.0],[14.0],[20.0],[17.0]
['1656260'],['160270206021'],[13.5],[1390.8883954594785],[500.8794652228538],[424.0513400791093],[424.0513400791093],[0.8000430506710582],[0.8966490457967103],[39.63128705836738],[926.71],[20.0],[19.0],[8.0],[13.0]
['1656260'],['160270206022'],[8.833333333333332],[1450.0000000000002],[717.0000000000001],[588.0000000000001],[532.0000000000001],[0.20172885887780684],[0.19455618465713245],[63.860426912410766],[922.69],[3.0],[2.0],[11.0],[13.0]
['1656260'],['160270206023'],[8.333333333333334],[1392.609612786224],[488.7046572687748],[450.95917560980433],[406.260578908392],[0.42149023170802824],[0.5051677511478112],[118.3906744240341],[-99999.0],[10.0],[6.0],[16.0],[1.0]
